phase radius_sensor	U0	radiusCurvature	delta	
0.000000e+00	1.338093e-02	7.387886e-04	-1.512698e+15	7.127809e-05
1.000000e+01	1.338093e-02	7.391711e-04	-1.512698e+15	7.124903e-05
2.000000e+01	1.338093e-02	7.399095e-04	-1.512698e+15	7.117245e-05
3.000000e+01	1.338093e-02	7.407685e-04	-1.512698e+15	7.108795e-05
4.000000e+01	1.338093e-02	7.413111e-04	-1.512698e+15	7.103327e-05
5.000000e+01	1.338093e-02	7.413106e-04	-1.512698e+15	7.103326e-05
6.000000e+01	1.338093e-02	7.407672e-04	-1.512698e+15	7.108793e-05
7.000000e+01	1.338093e-02	7.399249e-04	-1.512698e+15	7.117286e-05
8.000000e+01	1.338093e-02	7.391701e-04	-1.512698e+15	7.124901e-05
9.000000e+01	1.338093e-02	7.388673e-04	-1.512698e+15	7.127959e-05
